# note: preview (top 1000 words, see vocab_report.csv.tar.gz for full data)
# version: 0.0.0.1
# generated_at: 2026-01-13T04:11:35.171063+00:00
# tool_version: vocab-census v0.1.0
# source_projects: 5
# total_unique_words: 84201
word,global_count,project_coverage,type
cv,1098,2,identifier
Self,1096,4,identifier
raw,1095,4,identifier
action,1090,4,identifier
version,1087,5,identifier
endswith,1087,5,identifier
readline,1085,4,identifier
tolist,1082,3,identifier
skipTest,1075,1,identifier
mod,1072,5,identifier
isna,1071,2,identifier
ns,1070,2,string_constant
repeat,1070,3,identifier
it,1065,4,identifier
server,1064,3,identifier
agg,1060,2,identifier
view,1057,4,identifier
timedelta,1051,5,identifier
header,1050,4,identifier
prefix,1050,5,identifier
name,1049,5,string_constant
levels,1045,3,identifier
logging,1044,5,identifier
events,1040,2,identifier
loader,1039,3,identifier
theclass,1039,1,identifier
sorted,1038,5,builtin
bytearray,1032,5,builtin
sep,1027,4,identifier
stop,1025,3,identifier
subplots,1024,2,identifier
remove,1021,4,identifier
threading,1020,4,identifier
equals,1019,2,identifier
ordered,1003,2,identifier
stack,1002,3,identifier
expect,1002,4,identifier
catch_warnings,1002,4,identifier
toarray,1002,2,identifier
ImportError,1001,5,builtin
from_product,999,1,identifier
lineno,999,3,identifier
how,997,3,identifier
coef_,990,1,identifier
resample,982,2,identifier
first,980,3,identifier
one,979,4,string_constant
tol,979,3,identifier
s2,974,4,identifier
mkdir,972,4,identifier
abs,968,3,identifier
elem,965,3,identifier
log,964,3,identifier
script,960,2,identifier
y_train,959,1,identifier
signature,958,4,identifier
input,958,4,builtin
tags,958,4,identifier
doc,957,4,identifier
dropna,956,1,identifier
key,951,5,string_constant
tk,951,2,identifier
intp,950,2,identifier
data,949,5,string_constant
collections,942,5,identifier
gen,941,5,identifier
splitlines,940,5,identifier
index,928,5,string_constant
series,918,2,identifier
bind,918,5,identifier
shift,917,3,identifier
bar,916,4,identifier
kernel,916,3,identifier
collect,912,3,identifier
step,911,3,identifier
rand,911,3,identifier
help,911,4,identifier
test,910,5,string_constant
parse,909,4,identifier
n_classes,908,1,identifier
port,906,4,identifier
src,899,3,identifier
to_datetime,892,2,identifier
textwrap,891,3,identifier
config,890,5,identifier
modules,890,5,identifier
float64,889,2,string_constant
err_msg,889,3,identifier
inf,886,3,identifier
xfail,884,3,identifier
drop,884,3,identifier
sort_values,879,2,identifier
table,878,3,identifier
width,876,3,identifier
weights,876,3,identifier
tell,876,3,identifier
widget,875,1,identifier
rb,874,5,string_constant
util,872,4,identifier
tz_localize,869,1,identifier
transport,867,1,identifier
groups,864,3,identifier
environ,864,5,identifier
float_frame,862,1,identifier
two,852,4,string_constant
con,850,2,identifier
s1,849,3,identifier
float32,848,2,identifier
reason,843,5,identifier
strict,841,4,identifier
timedelta64,840,1,identifier
boolean,839,4,string_constant
writer,838,2,identifier
assert_extension_array_equal,837,1,identifier
cmd,836,3,identifier
urllib,836,5,identifier
cf,835,2,identifier
year,830,4,identifier
Path,830,4,identifier
Foo,821,3,identifier
cast,819,4,identifier
skip,818,4,identifier
ascii,812,5,string_constant
NDArray,810,2,identifier
solver,809,1,identifier
fillna,808,2,identifier
Array,808,3,identifier
import_module,806,4,identifier
model,804,3,identifier
predict_proba,801,1,identifier
get_array,799,2,identifier
release,798,5,identifier
klass,794,3,identifier
reset,790,4,identifier
debug,788,3,identifier
asfreq,785,1,identifier
search,785,4,identifier
value,784,5,string_constant
parse_args,784,4,identifier
set_params,784,1,identifier
Literal,782,5,identifier
stream,782,5,identifier
format,781,3,builtin
executable,779,3,identifier
struct,778,4,identifier
register,778,4,identifier
right,774,3,string_constant
sub,774,5,identifier
device,772,3,identifier
rv,771,4,identifier
ipaddress,769,1,identifier
proc,768,3,identifier
ids,767,3,identifier
kwds,766,3,identifier
errno,766,4,identifier
-c,766,3,string_constant
id,765,4,builtin
iter,754,5,builtin
warns,751,5,identifier
options,750,5,identifier
buffer,749,4,identifier
sqrt,748,3,identifier
partial,745,4,identifier
connect,745,5,identifier
typing,743,5,identifier
block,741,5,identifier
to_numpy,740,2,identifier
tzinfo,740,3,identifier
y_test,740,1,identifier
get_loc,737,2,identifier
grouped,737,3,identifier
AssertionError,737,5,builtin
linspace,735,3,identifier
_from_sequence,734,1,identifier
max,734,5,builtin
delete,733,5,identifier
date,732,4,identifier
__new__,731,3,identifier
tkinter,730,1,identifier
month,729,4,identifier
pi,729,3,identifier
find,729,4,identifier
str,728,4,identifier
fut,727,1,identifier
gc,726,4,identifier
assertIsNot,726,1,identifier
inplace,725,3,identifier
return_value,725,4,identifier
pipe,725,3,identifier
complex,724,3,builtin
vals,723,3,identifier
__dict__,722,5,identifier
mi,721,3,identifier
min,721,3,string_constant
rstrip,720,5,identifier
coro,719,1,identifier
init,718,3,identifier
tag,712,4,identifier
sparse,711,3,identifier
fit_intercept,710,1,identifier
loss,710,1,identifier
fname,709,4,identifier
reset_index,708,2,identifier
decompress,706,1,identifier
field,705,4,identifier
pyarrow,704,2,string_constant
issparse,700,2,identifier
bool_,699,2,identifier
scatter,699,2,identifier
sample,698,4,identifier
headers,697,5,identifier
files,697,5,identifier
IndexError,693,4,builtin
flask,693,1,identifier
na_value,692,1,identifier
map,692,3,identifier
zipfile,692,3,identifier
spam,692,5,string_constant
average,692,2,identifier
ref,691,4,identifier
baz,689,5,string_constant
std,688,3,identifier
n_jobs,687,1,identifier
dtype,686,2,string_constant
simplefilter,686,4,identifier
orig,683,3,identifier
t1,682,3,identifier
memoryview,682,2,builtin
RangeIndex,681,1,identifier
int32,680,3,identifier
resp,680,5,identifier
Thread,680,4,identifier
PeriodIndex,679,1,identifier
min_periods,679,1,identifier
box_expected,679,1,identifier
var,678,4,identifier
Callable,677,5,identifier
OverflowError,676,3,builtin
indent,675,4,identifier
attrs,674,3,identifier
acquire,674,1,identifier
tree,673,3,identifier
token,670,3,identifier
integers,669,3,identifier
done,668,2,identifier
ZipFile,666,3,identifier
object,665,3,string_constant
tr,665,3,identifier
_data,664,2,identifier
ignore,663,5,string_constant
legend,663,3,identifier
show,662,4,identifier
category,661,3,string_constant
NS,659,2,identifier
SkipTest,659,2,identifier
period_range,658,1,identifier
Int64,658,2,string_constant
map,658,4,builtin
lst,658,3,identifier
db,658,4,identifier
global_random_seed,657,1,identifier
typ,655,3,identifier
classes,655,3,identifier
style,654,3,identifier
US/Eastern,653,1,string_constant
datetime64,653,1,identifier
Codec,653,1,identifier
shutil,651,3,identifier
day,650,4,identifier
diff,650,3,identifier
host,650,4,identifier
numeric_only,649,2,identifier
rename,649,3,identifier
clone,649,2,identifier
pattern,648,3,identifier
dtypes,647,2,identifier
Event,647,2,identifier
c_int,647,1,identifier
union,642,3,identifier
put,642,5,identifier
shuffle,642,3,identifier
tempfile,641,5,identifier
sort_index,640,2,identifier
assertRegex,638,1,identifier
ET,638,2,identifier
handle,637,4,identifier
recv,637,2,identifier
first,636,3,string_constant
colors,636,3,identifier
push,635,3,identifier
response,634,5,identifier
category,632,5,identifier
uniform,631,3,identifier
dir,630,4,builtin
auto,628,3,string_constant
addr,627,1,identifier
DeprecationWarning,625,5,builtin
entry,624,3,identifier
Hashable,623,3,identifier
final,623,4,identifier
functools,623,4,identifier
contextlib,623,5,identifier
exit,623,5,identifier
Popen,621,3,identifier
display,620,3,identifier
staticmethod,618,5,builtin
route,618,3,identifier
assertGreater,615,1,identifier
UserWarning,613,4,builtin
basename,613,5,identifier
approx,613,1,identifier
compression,612,2,identifier
assertIsNotNone,610,1,identifier
_values,609,2,identifier
length,609,4,identifier
ctypes,609,2,identifier
norm,609,3,identifier
importlib,608,5,identifier
event,607,4,identifier
CategoricalIndex,605,1,identifier
rtol,605,2,identifier
handler,604,5,identifier
interp,598,3,identifier
object,598,2,identifier
normalize,596,3,identifier
second,596,3,identifier
mean,595,3,string_constant
quantile,595,2,identifier
abspath,594,5,identifier
coef,592,1,identifier
choice,591,3,identifier
cache,590,4,identifier
itertools,590,4,identifier
isin,589,2,identifier
fig,589,2,identifier
address,589,3,identifier
y_score,589,1,identifier
cur,587,2,identifier
gb,586,2,identifier
SparseArray,585,2,identifier
identical,585,3,identifier
record,584,4,identifier
assertAlmostEqual,584,1,identifier
order,582,5,identifier
strftime,581,4,identifier
all,579,5,builtin
to_csv,578,2,identifier
assert_called_with,578,2,identifier
upper,577,5,identifier
content,577,4,identifier
parts,577,5,identifier
task,577,1,identifier
cond,575,3,identifier
logger,575,4,identifier
normal,574,3,identifier
tests,574,5,identifier
NaT,572,1,string_constant
column,572,3,identifier
box,571,3,identifier
protocol,571,3,identifier
maxsize,570,4,identifier
req,570,5,identifier
policy,570,1,identifier
query,569,5,identifier
tarfile,569,4,identifier
assertWarns,569,1,identifier
1.0,568,2,string_constant
called,568,2,identifier
min,567,3,builtin
wb,567,4,string_constant
dst,567,4,identifier
eval,566,2,identifier
now,566,4,identifier
Integral,565,3,identifier
ABSTFN,565,1,identifier
strict,564,3,string_constant
temp_file,563,3,identifier
string,561,4,string_constant
setup,561,5,identifier
__file__,559,5,magic
rs,558,3,identifier
tearDown,558,1,identifier
", ",555,5,string_constant
offsets,552,3,identifier
cancel,551,1,identifier
_test_get_x,551,1,identifier
callback,550,4,identifier
days,547,5,identifier
set_title,547,3,identifier
ArrayLike,546,2,identifier
st,546,3,identifier
n_neighbors,546,1,identifier
option_context,545,2,identifier
argparse,544,3,identifier
INF,542,1,identifier
json,540,5,identifier
hash,540,3,builtin
end,540,3,string_constant
n_clusters,540,1,identifier
methodcaller,539,2,identifier
curses,539,1,identifier
__all__,538,3,magic
destroy,538,1,identifier
__repr__,537,5,magic
realpath,537,3,identifier
lock,537,2,identifier
thread,536,3,identifier
glob,535,3,identifier
Sequence,534,4,identifier
weakref,534,3,identifier
isfile,534,4,identifier
X_trans,534,1,identifier
sum,532,3,string_constant
concatenate,532,2,identifier
example,531,3,identifier
LogisticRegression,530,1,identifier
email,528,2,identifier
NotImplemented,527,4,builtin
findall,524,4,identifier
pid,524,3,identifier
c1,522,3,identifier
cols,521,3,identifier
d1,521,4,identifier
timezone,518,4,identifier
eps,518,3,identifier
opt,517,3,identifier
get_payload,517,1,identifier
com,516,1,identifier
limit,516,3,identifier
index_col,515,1,identifier
npt,515,2,identifier
t2,515,3,identifier
PIPE,514,3,identifier
df,513,3,string_constant
window,513,2,identifier
to_frame,509,2,identifier
ret,509,4,identifier
queue,507,1,identifier
merge,504,3,identifier
inverse_transform,504,1,identifier
setdefault,503,5,identifier
compress,502,3,identifier
pandas,501,2,string_constant
ord,501,3,builtin
nd,500,3,identifier
posix,500,1,identifier
date,497,4,string_constant
_interpreters,497,1,identifier
create_task,497,1,identifier
checkJoin,495,1,identifier
setattr,494,5,builtin
str,492,3,string_constant
body,492,5,identifier
read_excel,490,1,identifier
matplotlib,490,2,identifier
dest,490,3,identifier
side,489,3,identifier
seed,489,3,identifier
_box,489,1,identifier
tp,486,3,identifier
new,484,5,identifier
pat,482,3,identifier
ct,482,3,identifier
opname,481,2,identifier
locale,481,3,identifier
iinfo,480,2,identifier
UTC,478,3,string_constant
Real,477,2,identifier
from_estimator,476,1,identifier
_simple_new,475,1,identifier
CategoricalDtype,475,2,identifier
kw,475,4,identifier
rc,474,3,identifier
rmtree,474,3,identifier
decision_function,474,1,identifier
classes_,474,1,identifier
stdin,473,3,identifier
ignore_fork_in_thread_deprecation_warnings,471,1,identifier
requests,469,4,identifier
get_indexer,468,1,identifier
max,468,3,string_constant
pformat,464,3,identifier
feature_names,464,2,identifier
array-like,464,1,string_constant
fill,463,3,identifier
replace,463,4,string_constant
isdir,463,4,identifier
count,462,3,string_constant
tdi,461,1,identifier
result2,461,3,identifier
subset,461,3,identifier
OrderedDict,461,4,identifier
abc,461,3,identifier
top,461,3,identifier
tarinfo,461,2,identifier
stats,461,3,identifier
seq,460,3,identifier
extra,460,4,identifier
n_estimators,460,1,identifier
num,459,3,identifier
orient,458,3,identifier
meth,457,4,identifier
utc,456,4,identifier
cid,456,3,identifier
grid,455,3,identifier
_mgr,454,1,identifier
fileobj,452,3,identifier
Name,451,2,string_constant
TimedeltaIndex,450,1,identifier
int,448,3,string_constant
temp_dir,448,2,identifier
random_sample,448,1,identifier
cx,447,1,identifier
to_json,446,2,identifier
case,446,3,identifier
link,446,4,identifier
depth,446,2,identifier
suffix,445,4,identifier
memio,444,1,identifier
regex,443,3,identifier
delta,443,3,identifier
tar,443,3,identifier
argsort,442,2,identifier
__doc__,442,4,identifier
set_result,442,1,identifier
Sig,441,1,identifier
blocks,440,3,identifier
id,440,4,identifier
reg,440,2,identifier
StringDtype,439,1,identifier
assert_categorical_equal,439,1,identifier
value_counts,439,2,identifier
full,439,3,identifier
nargs,439,3,identifier
any_string_dtype,438,1,identifier
c2,438,3,identifier
dates,437,2,identifier
round,437,2,identifier
_value,436,2,identifier
Context,436,3,identifier
timedelta_range,435,1,identifier
unstack,435,2,identifier
intersection,435,3,identifier
prec,435,3,identifier
scoring,435,1,identifier
assertGreaterEqual,433,1,identifier
prefer_skip_nested_validation,433,1,identifier
frame_or_series,432,1,identifier
ascending,432,3,identifier
atol,432,2,identifier
scipy,432,2,identifier
trace,432,2,identifier
Axis,431,1,identifier
by,431,3,identifier
arrays,431,2,identifier
seconds,430,5,identifier
element,430,3,identifier
ex,430,2,identifier
ArgumentParser,430,3,identifier
df_orig,429,1,identifier
figure,429,2,identifier
randrange,429,1,identifier
StopIteration,428,4,builtin
__future__,427,4,identifier
hour,427,3,identifier
argv,427,4,identifier
idx2,426,2,identifier
enc,426,3,identifier
dump,426,4,identifier
rank,425,3,identifier
idx1,424,2,identifier
tz_convert,423,1,identifier
on,423,3,identifier
communicate,422,3,identifier
spam,421,4,identifier
partial_fit,420,1,identifier
__sklearn_tags__,420,1,identifier
frozenset,419,5,builtin
assertIsSubclass,419,1,identifier
algorithm,418,3,identifier
make_classification,418,1,identifier
win32,417,4,string_constant
vstack,416,3,identifier
char,416,3,identifier
symlink,416,1,identifier
overload,415,4,identifier
got,414,3,identifier
tail,413,4,identifier
fit,413,1,string_constant
original,412,3,identifier
_testlimitedcapi,412,1,identifier
ind,410,3,identifier
wrapper,409,4,identifier
returncode,409,3,identifier
fsencode,409,1,identifier
get_feature_names_out,409,1,identifier
all_parsers,408,1,identifier
mgr,408,2,identifier
method,408,5,string_constant
head,407,5,identifier
idx,404,1,string_constant
deep,404,3,identifier
assert_python_ok,404,1,identifier
